,claimHeadline,articleHeadline,articleHeadlineStance,articleId,claimId,url,source,claimTruth,claimCount,articleCount,sourceCount
27,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Iraq claims ISIS leader al-Baghdadi's wife has NOT been arrested, despite Lebanon insisting woman detained at border told them she was Islamist extremist's spouse",against,afe6e810-7af1-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.dailymail.co.uk/news/article-2858712/Iraq-official-Arrested-woman-not-IS-leaders-wife.html,www.dailymail.co.uk,unknown,6,28,4
28,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,for,cc6507e0-7c3d-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.dailymail.co.uk/news/article-2860753/Lebanon-holding-IS-chiefs-daughter-ex-wife-minister.html,www.dailymail.co.uk,unknown,6,29,4
30,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,against,bbff8670-7af1-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.ibtimes.co.in/iraq-denies-lebanon-captured-abu-bakr-al-baghdadis-wife-child-615977,www.ibtimes.co.in,unknown,6,31,12
37,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Wife and child of Islamic State leader Baghdadi held in Lebanon,for,916fae80-7af1-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.theguardian.com/world/2014/dec/02/al-baghdadi-wife-son-arrest-lebanon-fake-passport,www.theguardian.com,unknown,6,38,30
38,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",observing,69506bf0-7af2-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.washingtonpost.com/world/wife-daughter-of-islamic-state-head-detained-in-lebanon/2014/12/02/f00c29fa-4fa2-4c6f-afd4-801279e22754_story.html,www.washingtonpost.com,unknown,6,39,31
40,Jihadist Khalil al-Britani was killed,Teenage British jihadi killed in US airstrikes: 19-year-old from Brighton died in US-led bombing,observing,e7b3eda0-443d-11e4-94c0-515d9d816ec6,426a9310-43e5-11e4-ba57-5b750603f392,http://www.dailymail.co.uk/news/article-2768321/Teenaged-British-jihadi-killed-US-airstrikes-19-year-old-Brighton-died-US-led-bombing.html,www.dailymail.co.uk,unknown,7,41,4
44,Jihadist Khalil al-Britani was killed,Syria: Teenage British Jihadi from Brighton Killed in US Airstrikes,for,1f8e2d30-443e-11e4-94c0-515d9d816ec6,426a9310-43e5-11e4-ba57-5b750603f392,http://www.ibtimes.co.uk/syria-teenage-british-jihadi-brighton-killed-us-airstrikes-1467064,www.ibtimes.co.uk,unknown,7,45,13
46,Jihadist Khalil al-Britani was killed,British teenage jihadist killed during US air strikes on Syria,observing,ef4eb090-4433-11e4-94c0-515d9d816ec6,426a9310-43e5-11e4-ba57-5b750603f392,http://www.mirror.co.uk/news/uk-news/british-teenage-jihadist-killed-during-4318358,www.mirror.co.uk,unknown,7,47,7
49,Jihadist Khalil al-Britani was killed,British teenage jihadi believed to have been killed in Syria,observing,d52b67d0-4433-11e4-94c0-515d9d816ec6,426a9310-43e5-11e4-ba57-5b750603f392,http://www.theguardian.com/world/2014/sep/24/british-teenage-jihadi-believed-killed-syria-ibrahim-kamara,www.theguardian.com,unknown,7,50,30
53,Amazon will open its first physical store in NY this year,Amazon Is Going To Open A Physical Store,for,6328f3c0-4fe9-11e4-b6a0-9705a8f94440,f802af50-4fe8-11e4-b6a0-9705a8f94440,http://www.businessinsider.com/amazon-is-going-to-open-a-physical-store-2014-10,www.businessinsider.com,FALSE,8,54,39
57,Amazon will open its first physical store in NY this year,"Amazon to launch first brick-and-mortar store, report says",observing,5e245090-4fe9-11e4-b6a0-9705a8f94440,f802af50-4fe8-11e4-b6a0-9705a8f94440,http://www.washingtonpost.com/business/economy/amazon-to-launch-first-brick-and-mortar-store-report-says/2012/02/06/gIQADB5OuQ_story.html,www.washingtonpost.com,FALSE,8,58,31
66,Apple will launch a 12 MacBook Air in 2015,"Apple 12-Inch MacBook Air Details Emerge Device Could Be Thinner, Lighter Than Current Model",for,5b709250-96a2-11e4-87a8-1d5d45e62193,fd3dc340-969e-11e4-87a8-1d5d45e62193,http://www.ibtimes.com/apple-12-inch-macbook-air-details-emerge-device-could-be-thinner-lighter-current-1775640,www.ibtimes.com,TRUE,11,67,50
67,Apple will launch a 12 MacBook Air in 2015,Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,observing,488e9650-96a2-11e4-87a8-1d5d45e62193,fd3dc340-969e-11e4-87a8-1d5d45e62193,http://www.macrumors.com/2015/01/06/12-inch-macbook-air-rendition/,www.macrumors.com,TRUE,11,68,9
75,"The larger Apple Watch Edition will cost 10,000","Why the most expensive Apple Watch will probably cost around 10,000",observing,8f08e490-c367-11e4-9435-a96703525a9e,855813e0-c366-11e4-9435-a96703525a9e,http://www.businessinsider.com/apple-watch-most-expensive-version-could-cost-10000-2015-2,www.businessinsider.com,TRUE,12,76,39
76,"The larger Apple Watch Edition will cost 10,000","Gold Apple Watch Edition price? Speculators say at least 10,000",observing,a5527590-c367-11e4-9435-a96703525a9e,855813e0-c366-11e4-9435-a96703525a9e,http://www.ibtimes.co.uk/gold-apple-watch-edition-price-speculators-say-least-10000-1489243,www.ibtimes.co.uk,TRUE,12,77,13
82,Apple will hold a special medialaunch event in February,"Apple Media Event Rumored for Late February, Apple Watch and 12 MacBook Air Likely Topics Updated",observing,409fb430-c283-11e4-8747-5b024dd6dd6c,41fa3090-c282-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2015/02/04/apple-media-event-late-february/,www.macrumors.com,FALSE,13,83,9
92,Apple is buying Path,"Here's What You Can Do On Path, The Social Network That Apple May Be About To Acquire",observing,6b12d410-3915-11e4-ae63-d5574342724c,6e378920-3914-11e4-ae63-d5574342724c,http://www.businessinsider.com/how-to-use-path-the-social-network-apple-may-acquire-2014-9,www.businessinsider.com,unknown,14,93,39
94,Apple is buying Path,Apple could be eyeing purchase of social networking app Path,observing,1dd8f8e0-3916-11e4-ae63-d5574342724c,6e378920-3914-11e4-ae63-d5574342724c,http://www.cultofmac.com/295106/apple-buy-social-networking-app-path/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter,www.cultofmac.com,unknown,14,95,64
95,Apple is buying Path,"Everything You Need To Know About Path, The Struggling Social Network In Apple's Sights",observing,b76d39d0-3916-11e4-ae63-d5574342724c,6e378920-3914-11e4-ae63-d5574342724c,http://www.ibtimes.com/everything-you-need-know-about-path-struggling-social-network-apples-sights-1684374,www.ibtimes.com,unknown,14,96,50
96,Apple is buying Path,"Apple Reportedly Close to Acquiring Path, Looking to Integrate Service Into Messages",observing,725ab080-3915-11e4-ae63-d5574342724c,6e378920-3914-11e4-ae63-d5574342724c,http://www.macrumors.com/2014/09/10/apple-close-to-acquiring-path/,www.macrumors.com,unknown,14,97,9
100,Apple will sell 50 million Apple Watches in 2015,Apple hopes to sell over 50 million watches in 2015,for,623d09c0-c4f0-11e4-883c-a7fa7a3c5066,adf12f50-c4ef-11e4-883c-a7fa7a3c5066,http://www.cultofmac.com/296353/apple-hopes-sell-50-million-watches-2015/,www.cultofmac.com,unknown,16,101,64
102,Apple Watch will only be sold in Apple Stores at launch,"If you want an Apple Watch, you'll probably be trekking to an Apple Store",for,65d07660-c353-11e4-8747-5b024dd6dd6c,6285fbc0-c352-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/312240/want-apple-watch-youll-trekking-apple-store/,www.cultofmac.com,FALSE,17,103,64
111,Apple Watch battery doesn't last more than one day,Apple Isn't Happy With The Battery Life Of Its New Smartwatch,for,1ccbf170-c299-11e4-8747-5b024dd6dd6c,a7853520-c298-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-watch-battery-life-2014-9,www.businessinsider.com,TRUE,19,112,39
112,Apple Watch battery doesn't last more than one day,Apple Watch battery will require nightly charging,for,81d38540-c29b-11e4-8747-5b024dd6dd6c,a7853520-c298-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/295236/apple-watch-battery-will-require-nightly-charging/,www.cultofmac.com,TRUE,19,113,64
113,Apple Watch battery doesn't last more than one day,"Apple Watch Battery Life Currently About a Day, but May Improve for 2015 Launch",for,c444cc40-c29b-11e4-8747-5b024dd6dd6c,a7853520-c298-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2014/09/10/watch-battery-life/,www.macrumors.com,TRUE,19,114,9
116,The Apple Watch will ship with a diagnostics port,Hidden Diagnostic Port on Apple Watch Could Allow for Smart Band Accessories Updated,for,1ae9cf90-c43c-11e4-883c-a7fa7a3c5066,94f13db0-c43b-11e4-883c-a7fa7a3c5066,http://www.macrumors.com/2015/03/05/apple-watch-diagnostic-port/,www.macrumors.com,unknown,20,117,9
123,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Stainless steel Apple Watch could cost just 499, but gold will be 10 times as pricey",observing,23053390-c216-11e4-8747-5b024dd6dd6c,57da8d00-c215-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/302069/stainless-steel-apple-watch-cost-just-499/,www.cultofmac.com,FALSE,22,124,64
125,"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD","Apple Watch Pricing to Reportedly Start at 500 for Stainless Steel, 4,000 for Gold",observing,ff0d9720-c215-11e4-8747-5b024dd6dd6c,57da8d00-c215-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2014/11/04/apple-watch-steel-500/,www.macrumors.com,FALSE,22,126,9
136,The Apple Watch will launch in February,Apple Watch launch reportedly planned for February with limited supply,observing,eebc0230-4af1-11e4-9960-a165dd517bbb,cead0e70-4aed-11e4-9960-a165dd517bbb,http://www.cultofmac.com/298533/apple-watch-launch-reportedly-planned-february/,www.cultofmac.com,FALSE,24,137,64
147,The Apple Watch is sufficiently water resistant to wear in the shower,"Yes, you can wear your Apple Watch in the shower",for,21d79100-c1be-11e4-8747-5b024dd6dd6c,712e0010-c1bc-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/313413/yes-can-wear-apple-watch-shower/,www.cultofmac.com,unknown,27,148,64
156,The Apple Watch will be available in Germany at launch,The Apple Watch will be available outside the US when it launches next month,observing,bca5cf00-c1b2-11e4-8747-5b024dd6dd6c,9b111e40-c1b1-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-watch-release-outside-us-2015-3,www.businessinsider.com,TRUE,28,157,39
160,"Developers have limited access to Apple Watch sensors and features, to make simpler apps that don't drain battery","Apple is limiting features on the Apple Watch to save battery life, according to developers",observing,0e7e6910-c346-11e4-8747-5b024dd6dd6c,13284580-c2ab-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-watch-limitations-due-to-battery-life-2015-3,www.businessinsider.com,unknown,29,161,39
164,Apple Watch will have 512 MB of RAM and 4GB or 8GB storage options,Apple's Watch Will Come In 2 Storage Sizes,observing,101d8fd0-c2a6-11e4-8747-5b024dd6dd6c,44cdfc20-c2a5-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-watch-storage-sizes-2014-9,www.businessinsider.com,unknown,30,165,39
166,The Apple Watch only receives notifications when on the wrist,"Apple Watch Takes Two Hours to Charge, Only Delivers Notifications While on the Wrist",for,7c5eada0-c468-11e4-883c-a7fa7a3c5066,09de3d40-c468-11e4-883c-a7fa7a3c5066,http://www.macrumors.com/2015/03/06/apple-watch-notifications-battery-life/,www.macrumors.com,unknown,31,167,9
170,Apple is considering the release of a platinum edition of the Apple Watch,"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",for,e1044030-c66b-11e4-883c-a7fa7a3c5066,7ce67780-c666-11e4-883c-a7fa7a3c5066,http://www.macrumors.com/2015/03/09/apple-watch-reservations-platinum-model/,www.macrumors.com,unknown,32,171,9
176,The Apple Watch will include a feature called Power Reserve,"Apple Watch to Feature Time-Only Power Reserve Mode, Prototypes Disguised as Samsung Watches",for,49a1c4d0-c1b4-11e4-8747-5b024dd6dd6c,cab4a2a0-c1b3-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2015/03/01/apple-watch-power-reserve/,www.macrumors.com,TRUE,33,177,9
181,The Apple Store will have custom-designed safes to store the gold Apple Watch,Apple Stores will have custom-designed safes to store the gold Apple Watch in,for,d98bdda0-bfb7-11e4-8747-5b024dd6dd6c,ca466950-bfb7-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/gold-apple-watch-safes-apple-store-2015-2,www.businessinsider.com,unknown,34,182,39
184,The Apple Store will have custom-designed safes to store the gold Apple Watch,Apple installing safes in-store to protect gold Watch Edition,for,e2859350-bfb8-11e4-8747-5b024dd6dd6c,ca466950-bfb7-11e4-8747-5b024dd6dd6c,http://www.ibtimes.co.uk/apple-installing-safes-store-protect-gold-watch-edition-1486191,www.ibtimes.co.uk,unknown,34,185,13
199,The Apple Watch will ship in March,The World's Most Accurate Apple Analyst Says The Apple Watch Is Coming In March,observing,4cd8e850-c122-11e4-8747-5b024dd6dd6c,6942a600-c11f-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-watch-release-date-features-2015-1,www.businessinsider.com,FALSE,36,200,39
200,The Apple Watch will ship in March,Apple Watch shipments to start in March: 12in new MacBook Air expected to be launched in same quarter,for,aa827c70-c120-11e4-8747-5b024dd6dd6c,6942a600-c11f-11e4-8747-5b024dd6dd6c,http://www.ibtimes.co.uk/apple-watch-shipments-start-march-12in-new-macbook-air-expected-be-launched-same-quarter-1485051,www.ibtimes.co.uk,FALSE,36,201,13
201,The Apple Watch will ship in March,"Apple Reported to Begin Shipping Apple Watch in March, 12-Inch MacBook Air in Early 2015",observing,6fc3b000-c11f-11e4-8747-5b024dd6dd6c,6942a600-c11f-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2015/01/24/apple-watch-march-12-inch-macbook-early-2015/,www.macrumors.com,FALSE,36,202,9
208,Apple removed from Apple Watch a skin-conductivity sensor that would give a more accurate heart rate,A bunch of cool health features were cut from the Apple Watch at the last minute,observing,f65155a0-c282-11e4-8747-5b024dd6dd6c,802b5ce0-c282-11e4-8747-5b024dd6dd6c,http://www.businessinsider.com/apple-cuts-features-from-apple-watch-2015-2,www.businessinsider.com,unknown,37,209,39
210,Apple removed from Apple Watch a skin-conductivity sensor that would give a more accurate heart rate,Apple Watch won't be the digital doctor it could have been,for,08119bb0-c288-11e4-8747-5b024dd6dd6c,802b5ce0-c282-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/312533/apple-watch-wont-digital-doctor/,www.cultofmac.com,unknown,37,211,64
212,Apple removed from Apple Watch a skin-conductivity sensor that would give a more accurate heart rate,Original Apple Watch Health Features Were Dropped Due to Consistency Issues,for,2d3fe360-c288-11e4-8747-5b024dd6dd6c,802b5ce0-c282-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2015/02/16/apple-watch-original-health-features/,www.macrumors.com,unknown,37,213,9
215,The Apple Watch takes about two hours to charge,"Apple Watch Takes Two Hours to Charge, Only Delivers Notifications While on the Wrist",for,00c5b820-c46b-11e4-883c-a7fa7a3c5066,b84f4de0-c46a-11e4-883c-a7fa7a3c5066,http://www.macrumors.com/2015/03/06/apple-watch-notifications-battery-life/,www.macrumors.com,TRUE,39,216,9
223,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,There's A Weird Story Going Around About How Argentina's President Just Saved A Jewish Man From Becoming A Werewolf,observing,0c8f0970-9033-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.businessinsider.com/argentina-president-adopts-boy-no-werewolf-2014-12,www.businessinsider.com,FALSE,40,224,39
224,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,Argentina's President Adopted A Jewish Godson To Stop Him From Turning Into A Werewolf,for,5d9cc8e0-8f96-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.buzzfeed.com/ryanhatesthis/argentinas-president-adopted-a-jewish-godson-to-stop-him-fro#.yuvoQ2Lrvr,www.buzzfeed.com,FALSE,40,225,22
231,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,President of Argentina adopts Jewish boy to stop him turning into werewolf,for,b3344400-8f9a-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.ibtimes.co.uk/president-argentina-adopts-jewish-boy-stop-him-turning-into-werewolf-1481242,www.ibtimes.co.uk,FALSE,40,232,13
237,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,Argentina president adopts young Jewish boy as godson to prevent him from turning into werewolf,for,e1876250-8f96-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.nydailynews.com/news/world/argentina-president-adopts-boy-stop-werewolf-article-1.2058982,www.nydailynews.com,FALSE,40,238,14
241,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",against,4bd98350-8f96-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.theguardian.com/world/2014/dec/29/argentina-kirchner-adopt-child-werewolf,www.theguardian.com,FALSE,40,242,30
244,The president of Argentina became the adopted godmother of a boy to help stop him from becoming a werewolf,Did Argentina's president adopt a Jewish boy to save him from life as a werewolf'?,observing,dc44f2d0-8f96-11e4-9799-c7e75be2bcad,47e788a0-8f96-11e4-9799-c7e75be2bcad,http://www.washingtonpost.com/blogs/worldviews/wp/2014/12/29/argentinas-president-adopts-jewish-boy-to-save-him-from-life-as-a-werewolf/,www.washingtonpost.com,FALSE,40,245,31
246,Teacher had sex with 16-year-old,This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,against,e7c09e00-c7f6-11e4-883c-a7fa7a3c5066,fe3a51a0-c7f4-11e4-883c-a7fa7a3c5066,http://www.buzzfeed.com/ryanhatesthis/the-lucita-sandoval-sex-tape#.ydR35ExAr,www.buzzfeed.com,FALSE,41,247,22
247,Teacher had sex with 16-year-old,Has this Argentine woman fallen victim to a cruel online hoax? Adult video claiming to show teacher having sex with pupil isn't all it seems,observing,5359e500-c7f6-11e4-883c-a7fa7a3c5066,fe3a51a0-c7f4-11e4-883c-a7fa7a3c5066,http://www.dailymail.co.uk/news/article-2818793/Teacher-26-suspended-Argentina-student-16-secretly-films-having-sex-asking-turn-around.html,www.dailymail.co.uk,FALSE,41,248,4
249,Teacher had sex with 16-year-old,Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,against,49d9cbd0-c7f6-11e4-883c-a7fa7a3c5066,fe3a51a0-c7f4-11e4-883c-a7fa7a3c5066,http://www.mirror.co.uk/news/world-news/teacher-sex-tape-exposed-fake-4563651,www.mirror.co.uk,FALSE,41,250,7
250,Teacher had sex with 16-year-old,Teacher suspended after sex session with teen pupil ends up on hardcore porn website,for,40218ba0-c7f6-11e4-883c-a7fa7a3c5066,fe3a51a0-c7f4-11e4-883c-a7fa7a3c5066,http://www.mirror.co.uk/news/world-news/teacher-suspended-after-sex-session-4559316,www.mirror.co.uk,FALSE,41,251,7
251,Teacher had sex with 16-year-old,Lucita Sandoval sex tape hoax: Viral Argentine video features college student not 16-year-old boy,against,a1cc98e0-c7f6-11e4-883c-a7fa7a3c5066,fe3a51a0-c7f4-11e4-883c-a7fa7a3c5066,http://www.nydailynews.com/news/crime/teacher-suspended-sex-video-student-posted-whatsapp-article-1.1997562,www.nydailynews.com,FALSE,41,252,14
256,Anonymous street artist Banksy was arrested,A Bunch Of People Thought Banksy Got Arrested But It Was A Hoax,against,60d29ed0-5888-11e4-aaf5-a1ddcfbcd5a9,603d7670-5856-11e4-aaf5-a1ddcfbcd5a9,http://www.buzzfeed.com/alanwhite/everyone-needs-to-chill-because-banksy-hasnt-been-arrested#36ru22p,www.buzzfeed.com,FALSE,42,257,22
261,Anonymous street artist Banksy was arrested,Hoax Banksy Arrested in London Story Dupes the Internet Again,against,6f9c6630-5856-11e4-aaf5-a1ddcfbcd5a9,603d7670-5856-11e4-aaf5-a1ddcfbcd5a9,http://www.ibtimes.co.uk/hoax-banksy-arrested-london-story-dupes-internet-again-1470861,www.ibtimes.co.uk,FALSE,42,262,13
264,Anonymous street artist Banksy was arrested,"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",against,551d5620-5888-11e4-aaf5-a1ddcfbcd5a9,603d7670-5856-11e4-aaf5-a1ddcfbcd5a9,http://www.mirror.co.uk/news/uk-news/calm-down-everyone-banksy-hasnt-4468865,www.mirror.co.uk,FALSE,42,265,7
268,Artist Banksy drew a cartoon about the Charlie Hebdo murders,The Image That Everyone Is Sharing By Banksy Isn't By Banksy But It's Awesome,against,1eedb070-96dd-11e4-87a8-1d5d45e62193,d4016430-96dc-11e4-87a8-1d5d45e62193,http://www.businessinsider.com/fake-banksy-charlie-hebdo-illustration-2015-1,www.businessinsider.com,FALSE,43,269,39
270,Artist Banksy drew a cartoon about the Charlie Hebdo murders,This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,against,a9f5a960-9729-11e4-87a8-1d5d45e62193,d4016430-96dc-11e4-87a8-1d5d45e62193,http://www.buzzfeed.com/alanwhite/this-powerful-cartoon-about-the-charlie-hebdo-attack-is-not,www.buzzfeed.com,FALSE,43,271,22
279,Abdel-Majed Abdel Bary beheaded James Wright Foley,"The rapper, the hacker and the terror travel guide writer. Is one of these British extremists Jihadi John? Three potential Islamic State Beatles emerge as MI5 zeroes in on murderer who beheaded U.S. journalist James Foley",observing,54860a50-2bf5-11e4-89c5-1d389b94bc4b,98933d20-2bec-11e4-89c5-1d389b94bc4b,http://www.dailymail.co.uk/news/article-2732393/Is-one-British-extremists-Jihadi-John-Three-potential-Islamic-State-Beatles-emerge-MI5-zeroes-murderer-U-S-journalist-James-Foley.html,www.dailymail.co.uk,unknown,44,280,4
281,Abdel-Majed Abdel Bary beheaded James Wright Foley,"US, UK eye rapper as British-born militant who beheaded journalist James Foley",observing,03519800-2bed-11e4-89c5-1d389b94bc4b,98933d20-2bec-11e4-89c5-1d389b94bc4b,http://www.foxnews.com/world/2014/08/24/us-uk-reportedly-getting-closer-to-identifying-journalist-killer-as-british/,www.foxnews.com,unknown,44,282,123
284,Abdel-Majed Abdel Bary beheaded James Wright Foley,Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,for,1a64ba50-2c8c-11e4-89c5-1d389b94bc4b,98933d20-2bec-11e4-89c5-1d389b94bc4b,http://www.inquisitr.com/1429387/abdel-majed-abdel-bary-london-rapper-identified-as-isis-militant-who-beheaded-james-foley/,www.inquisitr.com,unknown,44,285,124
